pickup_date,pickup_month,hvfhs_license_num,company,location_id,borough,zone,trips
2021-10-01,2021-10,HV0003,Uber,2,Queens,Jamaica Bay,1
2021-10-01,2021-10,HV0003,Uber,3,Bronx,Allerton/Pelham Gardens,931
2021-10-01,2021-10,HV0003,Uber,4,Manhattan,Alphabet City,1437
2021-10-01,2021-10,HV0003,Uber,5,Staten Island,Arden Heights,105
2021-10-01,2021-10,HV0003,Uber,6,Staten Island,Arrochar/Fort Wadsworth,214
2021-10-01,2021-10,HV0003,Uber,7,Queens,Astoria,3720
2021-10-01,2021-10,HV0003,Uber,8,Queens,Astoria Park,5
2021-10-01,2021-10,HV0003,Uber,9,Queens,Auburndale,353
2021-10-01,2021-10,HV0003,Uber,10,Queens,Baisley Park,1348
2021-10-01,2021-10,HV0003,Uber,11,Brooklyn,Bath Beach,417
2021-10-01,2021-10,HV0003,Uber,12,Manhattan,Battery Park,46
2021-10-01,2021-10,HV0003,Uber,13,Manhattan,Battery Park City,1996
2021-10-01,2021-10,HV0003,Uber,14,Brooklyn,Bay Ridge,2216
2021-10-01,2021-10,HV0003,Uber,15,Queens,Bay Terrace/Fort Totten,293
2021-10-01,2021-10,HV0003,Uber,16,Queens,Bayside,782
2021-10-01,2021-10,HV0003,Uber,17,Brooklyn,Bedford,2935
2021-10-01,2021-10,HV0003,Uber,18,Bronx,Bedford Park,1898
2021-10-01,2021-10,HV0003,Uber,19,Queens,Bellerose,313
2021-10-01,2021-10,HV0003,Uber,20,Bronx,Belmont,1276
2021-10-01,2021-10,HV0003,Uber,21,Brooklyn,Bensonhurst East,1092
2021-10-01,2021-10,HV0003,Uber,22,Brooklyn,Bensonhurst West,1394
2021-10-01,2021-10,HV0003,Uber,23,Staten Island,Bloomfield/Emerson Hill,597
2021-10-01,2021-10,HV0003,Uber,24,Manhattan,Bloomingdale,595
2021-10-01,2021-10,HV0003,Uber,25,Brooklyn,Boerum Hill,1935
2021-10-01,2021-10,HV0003,Uber,26,Brooklyn,Borough Park,1616
2021-10-01,2021-10,HV0003,Uber,27,Queens,Breezy Point/Fort Tilden/Riis Beach,22
2021-10-01,2021-10,HV0003,Uber,28,Queens,Briarwood/Jamaica Hills,961
2021-10-01,2021-10,HV0003,Uber,29,Brooklyn,Brighton Beach,873
2021-10-01,2021-10,HV0003,Uber,30,Queens,Broad Channel,21
