pickup_date,pickup_month,hvfhs_license_num,company,location_id,borough,zone,trips
2019-02-01,2019-02,HV0003,Uber,1,EWR,Newark Airport,3
2019-02-01,2019-02,HV0003,Uber,2,Queens,Jamaica Bay,2
2019-02-01,2019-02,HV0003,Uber,3,Bronx,Allerton/Pelham Gardens,1013
2019-02-01,2019-02,HV0003,Uber,4,Manhattan,Alphabet City,2719
2019-02-01,2019-02,HV0003,Uber,5,Staten Island,Arden Heights,125
2019-02-01,2019-02,HV0003,Uber,6,Staten Island,Arrochar/Fort Wadsworth,225
2019-02-01,2019-02,HV0003,Uber,7,Queens,Astoria,4690
2019-02-01,2019-02,HV0003,Uber,8,Queens,Astoria Park,10
2019-02-01,2019-02,HV0003,Uber,9,Queens,Auburndale,455
2019-02-01,2019-02,HV0003,Uber,10,Queens,Baisley Park,1439
2019-02-01,2019-02,HV0003,Uber,11,Brooklyn,Bath Beach,550
2019-02-01,2019-02,HV0003,Uber,12,Manhattan,Battery Park,57
2019-02-01,2019-02,HV0003,Uber,13,Manhattan,Battery Park City,3013
2019-02-01,2019-02,HV0003,Uber,14,Brooklyn,Bay Ridge,2748
2019-02-01,2019-02,HV0003,Uber,15,Queens,Bay Terrace/Fort Totten,348
2019-02-01,2019-02,HV0003,Uber,16,Queens,Bayside,1141
2019-02-01,2019-02,HV0003,Uber,17,Brooklyn,Bedford,4393
2019-02-01,2019-02,HV0003,Uber,18,Bronx,Bedford Park,2923
2019-02-01,2019-02,HV0003,Uber,19,Queens,Bellerose,328
2019-02-01,2019-02,HV0003,Uber,20,Bronx,Belmont,1890
2019-02-01,2019-02,HV0003,Uber,21,Brooklyn,Bensonhurst East,1429
2019-02-01,2019-02,HV0003,Uber,22,Brooklyn,Bensonhurst West,1885
2019-02-01,2019-02,HV0003,Uber,23,Staten Island,Bloomfield/Emerson Hill,656
2019-02-01,2019-02,HV0003,Uber,24,Manhattan,Bloomingdale,977
2019-02-01,2019-02,HV0003,Uber,25,Brooklyn,Boerum Hill,2897
2019-02-01,2019-02,HV0003,Uber,26,Brooklyn,Borough Park,2002
2019-02-01,2019-02,HV0003,Uber,27,Queens,Breezy Point/Fort Tilden/Riis Beach,7
2019-02-01,2019-02,HV0003,Uber,28,Queens,Briarwood/Jamaica Hills,983
2019-02-01,2019-02,HV0003,Uber,29,Brooklyn,Brighton Beach,1086
2019-02-01,2019-02,HV0003,Uber,30,Queens,Broad Channel,17
2019-02-01,2019-02,HV0003,Uber,31,Bronx,Bronx Park,130
2019-02-01,2019-02,HV0003,Uber,32,Bronx,Bronxdale,1373
2019-02-01,2019-02,HV0003,Uber,33,Brooklyn,Brooklyn Heights,2745
2019-02-01,2019-02,HV0003,Uber,34,Brooklyn,Brooklyn Navy Yard,460
2019-02-01,2019-02,HV0003,Uber,35,Brooklyn,Brownsville,3151
2019-02-01,2019-02,HV0003,Uber,36,Brooklyn,Bushwick North,3501
2019-02-01,2019-02,HV0003,Uber,37,Brooklyn,Bushwick South,5029
2019-02-01,2019-02,HV0003,Uber,38,Queens,Cambria Heights,359
2019-02-01,2019-02,HV0003,Uber,39,Brooklyn,Canarsie,3919
2019-02-01,2019-02,HV0003,Uber,40,Brooklyn,Carroll Gardens,1398
2019-02-01,2019-02,HV0003,Uber,41,Manhattan,Central Harlem,3737
2019-02-01,2019-02,HV0003,Uber,42,Manhattan,Central Harlem North,5395
2019-02-01,2019-02,HV0003,Uber,43,Manhattan,Central Park,839
2019-02-01,2019-02,HV0003,Uber,44,Staten Island,Charleston/Tottenville,188
2019-02-01,2019-02,HV0003,Uber,45,Manhattan,Chinatown,1680
2019-02-01,2019-02,HV0003,Uber,46,Bronx,City Island,77
2019-02-01,2019-02,HV0003,Uber,47,Bronx,Claremont/Bathgate,2266
2019-02-01,2019-02,HV0003,Uber,48,Manhattan,Clinton East,7083
2019-02-01,2019-02,HV0003,Uber,49,Brooklyn,Clinton Hill,3446
2019-02-01,2019-02,HV0003,Uber,50,Manhattan,Clinton West,3889
2019-02-01,2019-02,HV0003,Uber,51,Bronx,Co-Op City,1768
2019-02-01,2019-02,HV0003,Uber,52,Brooklyn,Cobble Hill,856
2019-02-01,2019-02,HV0003,Uber,53,Queens,College Point,696
2019-02-01,2019-02,HV0003,Uber,54,Brooklyn,Columbia Street,358
2019-02-01,2019-02,HV0003,Uber,55,Brooklyn,Coney Island,1069
2019-02-01,2019-02,HV0003,Uber,56,Queens,Corona,1398
2019-02-01,2019-02,HV0003,Uber,57,Queens,Corona,87
2019-02-01,2019-02,HV0003,Uber,58,Bronx,Country Club,137
2019-02-01,2019-02,HV0003,Uber,59,Bronx,Crotona Park,85
2019-02-01,2019-02,HV0003,Uber,60,Bronx,Crotona Park East,1393
2019-02-01,2019-02,HV0003,Uber,61,Brooklyn,Crown Heights North,7104
2019-02-01,2019-02,HV0003,Uber,62,Brooklyn,Crown Heights South,2024
2019-02-01,2019-02,HV0003,Uber,63,Brooklyn,Cypress Hills,1428
2019-02-01,2019-02,HV0003,Uber,64,Queens,Douglaston,369
2019-02-01,2019-02,HV0003,Uber,65,Brooklyn,Downtown Brooklyn/MetroTech,2634
2019-02-01,2019-02,HV0003,Uber,66,Brooklyn,DUMBO/Vinegar Hill,2408
2019-02-01,2019-02,HV0003,Uber,67,Brooklyn,Dyker Heights,967
2019-02-01,2019-02,HV0003,Uber,68,Manhattan,East Chelsea,7163
2019-02-01,2019-02,HV0003,Uber,69,Bronx,East Concourse/Concourse Village,3751
2019-02-01,2019-02,HV0003,Uber,70,Queens,East Elmhurst,962
2019-02-01,2019-02,HV0003,Uber,71,Brooklyn,East Flatbush/Farragut,2074
2019-02-01,2019-02,HV0003,Uber,72,Brooklyn,East Flatbush/Remsen Village,2764
2019-02-01,2019-02,HV0003,Uber,73,Queens,East Flushing,510
2019-02-01,2019-02,HV0003,Uber,74,Manhattan,East Harlem North,4341
2019-02-01,2019-02,HV0003,Uber,75,Manhattan,East Harlem South,3846
2019-02-01,2019-02,HV0003,Uber,76,Brooklyn,East New York,4483
2019-02-01,2019-02,HV0003,Uber,77,Brooklyn,East New York/Pennsylvania Avenue,1308
2019-02-01,2019-02,HV0003,Uber,78,Bronx,East Tremont,2550
2019-02-01,2019-02,HV0003,Uber,79,Manhattan,East Village,10640
2019-02-01,2019-02,HV0003,Uber,80,Brooklyn,East Williamsburg,3308
2019-02-01,2019-02,HV0003,Uber,81,Bronx,Eastchester,1290
2019-02-01,2019-02,HV0003,Uber,82,Queens,Elmhurst,3131
2019-02-01,2019-02,HV0003,Uber,83,Queens,Elmhurst/Maspeth,921
2019-02-01,2019-02,HV0003,Uber,84,Staten Island,Eltingville/Annadale/Prince's Bay,205
2019-02-01,2019-02,HV0003,Uber,85,Brooklyn,Erasmus,1443
2019-02-01,2019-02,HV0003,Uber,86,Queens,Far Rockaway,630
