pickup_date,pickup_month,hvfhs_license_num,company,location_id,borough,zone,trips
2021-01-01,2021-01,HV0003,Uber,2,Queens,Jamaica Bay,1
2021-01-01,2021-01,HV0003,Uber,3,Bronx,Allerton/Pelham Gardens,800
2021-01-01,2021-01,HV0003,Uber,4,Manhattan,Alphabet City,945
2021-01-01,2021-01,HV0003,Uber,5,Staten Island,Arden Heights,102
2021-01-01,2021-01,HV0003,Uber,6,Staten Island,Arrochar/Fort Wadsworth,155
2021-01-01,2021-01,HV0003,Uber,7,Queens,Astoria,2639
2021-01-01,2021-01,HV0003,Uber,8,Queens,Astoria Park,5
2021-01-01,2021-01,HV0003,Uber,9,Queens,Auburndale,217
2021-01-01,2021-01,HV0003,Uber,10,Queens,Baisley Park,1175
2021-01-01,2021-01,HV0003,Uber,11,Brooklyn,Bath Beach,384
2021-01-01,2021-01,HV0003,Uber,12,Manhattan,Battery Park,33
2021-01-01,2021-01,HV0003,Uber,13,Manhattan,Battery Park City,519
2021-01-01,2021-01,HV0003,Uber,14,Brooklyn,Bay Ridge,1525
2021-01-01,2021-01,HV0003,Uber,15,Queens,Bay Terrace/Fort Totten,183
2021-01-01,2021-01,HV0003,Uber,16,Queens,Bayside,451
2021-01-01,2021-01,HV0003,Uber,17,Brooklyn,Bedford,3066
2021-01-01,2021-01,HV0003,Uber,18,Bronx,Bedford Park,2867
2021-01-01,2021-01,HV0003,Uber,19,Queens,Bellerose,216
2021-01-01,2021-01,HV0003,Uber,20,Bronx,Belmont,1242
2021-01-01,2021-01,HV0003,Uber,21,Brooklyn,Bensonhurst East,961
2021-01-01,2021-01,HV0003,Uber,22,Brooklyn,Bensonhurst West,1259
2021-01-01,2021-01,HV0003,Uber,23,Staten Island,Bloomfield/Emerson Hill,306
2021-01-01,2021-01,HV0003,Uber,24,Manhattan,Bloomingdale,430
2021-01-01,2021-01,HV0003,Uber,25,Brooklyn,Boerum Hill,1247
2021-01-01,2021-01,HV0003,Uber,26,Brooklyn,Borough Park,1230
2021-01-01,2021-01,HV0003,Uber,27,Queens,Breezy Point/Fort Tilden/Riis Beach,52
2021-01-01,2021-01,HV0003,Uber,28,Queens,Briarwood/Jamaica Hills,747
2021-01-01,2021-01,HV0003,Uber,29,Brooklyn,Brighton Beach,741
2021-01-01,2021-01,HV0003,Uber,30,Queens,Broad Channel,22
2021-01-01,2021-01,HV0003,Uber,31,Bronx,Bronx Park,175
2021-01-01,2021-01,HV0003,Uber,32,Bronx,Bronxdale,1331
2021-01-01,2021-01,HV0003,Uber,33,Brooklyn,Brooklyn Heights,794
2021-01-01,2021-01,HV0003,Uber,34,Brooklyn,Brooklyn Navy Yard,91
2021-01-01,2021-01,HV0003,Uber,35,Brooklyn,Brownsville,2872
2021-01-01,2021-01,HV0003,Uber,36,Brooklyn,Bushwick North,2794
2021-01-01,2021-01,HV0003,Uber,37,Brooklyn,Bushwick South,4624
2021-01-01,2021-01,HV0003,Uber,38,Queens,Cambria Heights,310
2021-01-01,2021-01,HV0003,Uber,39,Brooklyn,Canarsie,2994
2021-01-01,2021-01,HV0003,Uber,40,Brooklyn,Carroll Gardens,447
2021-01-01,2021-01,HV0003,Uber,41,Manhattan,Central Harlem,2362
2021-01-01,2021-01,HV0003,Uber,42,Manhattan,Central Harlem North,4193
2021-01-01,2021-01,HV0003,Uber,43,Manhattan,Central Park,335
2021-01-01,2021-01,HV0003,Uber,44,Staten Island,Charleston/Tottenville,137
2021-01-01,2021-01,HV0003,Uber,45,Manhattan,Chinatown,548
2021-01-01,2021-01,HV0003,Uber,46,Bronx,City Island,58
2021-01-01,2021-01,HV0003,Uber,47,Bronx,Claremont/Bathgate,1848
2021-01-01,2021-01,HV0003,Uber,48,Manhattan,Clinton East,2458
2021-01-01,2021-01,HV0003,Uber,49,Brooklyn,Clinton Hill,1613
2021-01-01,2021-01,HV0003,Uber,50,Manhattan,Clinton West,1332
2021-01-01,2021-01,HV0003,Uber,51,Bronx,Co-Op City,1265
2021-01-01,2021-01,HV0003,Uber,52,Brooklyn,Cobble Hill,245
2021-01-01,2021-01,HV0003,Uber,53,Queens,College Point,533
