pickup_date,pickup_month,hvfhs_license_num,company,location_id,borough,zone,trips
2024-08-01,2024-08,HV0003,Uber,2,Queens,Jamaica Bay,2
2024-08-01,2024-08,HV0003,Uber,3,Bronx,Allerton/Pelham Gardens,1105
2024-08-01,2024-08,HV0003,Uber,4,Manhattan,Alphabet City,1336
2024-08-01,2024-08,HV0003,Uber,5,Staten Island,Arden Heights,145
2024-08-01,2024-08,HV0003,Uber,6,Staten Island,Arrochar/Fort Wadsworth,301
2024-08-01,2024-08,HV0003,Uber,7,Queens,Astoria,3996
2024-08-01,2024-08,HV0003,Uber,8,Queens,Astoria Park,24
2024-08-01,2024-08,HV0003,Uber,9,Queens,Auburndale,447
2024-08-01,2024-08,HV0003,Uber,10,Queens,Baisley Park,1573
2024-08-01,2024-08,HV0003,Uber,11,Brooklyn,Bath Beach,509
2024-08-01,2024-08,HV0003,Uber,12,Manhattan,Battery Park,70
2024-08-01,2024-08,HV0003,Uber,13,Manhattan,Battery Park City,2911
2024-08-01,2024-08,HV0003,Uber,14,Brooklyn,Bay Ridge,2381
2024-08-01,2024-08,HV0003,Uber,15,Queens,Bay Terrace/Fort Totten,366
2024-08-01,2024-08,HV0003,Uber,16,Queens,Bayside,834
2024-08-01,2024-08,HV0003,Uber,17,Brooklyn,Bedford,3829
2024-08-01,2024-08,HV0003,Uber,18,Bronx,Bedford Park,2367
2024-08-01,2024-08,HV0003,Uber,19,Queens,Bellerose,434
2024-08-01,2024-08,HV0003,Uber,20,Bronx,Belmont,1428
2024-08-01,2024-08,HV0003,Uber,21,Brooklyn,Bensonhurst East,1146
2024-08-01,2024-08,HV0003,Uber,22,Brooklyn,Bensonhurst West,1419
2024-08-01,2024-08,HV0003,Uber,23,Staten Island,Bloomfield/Emerson Hill,742
2024-08-01,2024-08,HV0003,Uber,24,Manhattan,Bloomingdale,664
2024-08-01,2024-08,HV0003,Uber,25,Brooklyn,Boerum Hill,2421
2024-08-01,2024-08,HV0003,Uber,26,Brooklyn,Borough Park,2286
2024-08-01,2024-08,HV0003,Uber,27,Queens,Breezy Point/Fort Tilden/Riis Beach,104
2024-08-01,2024-08,HV0003,Uber,28,Queens,Briarwood/Jamaica Hills,1129
2024-08-01,2024-08,HV0003,Uber,29,Brooklyn,Brighton Beach,937
2024-08-01,2024-08,HV0003,Uber,30,Queens,Broad Channel,43
2024-08-01,2024-08,HV0003,Uber,31,Bronx,Bronx Park,216
2024-08-01,2024-08,HV0003,Uber,32,Bronx,Bronxdale,1251
2024-08-01,2024-08,HV0003,Uber,33,Brooklyn,Brooklyn Heights,2189
2024-08-01,2024-08,HV0003,Uber,34,Brooklyn,Brooklyn Navy Yard,340
2024-08-01,2024-08,HV0003,Uber,35,Brooklyn,Brownsville,3021
2024-08-01,2024-08,HV0003,Uber,36,Brooklyn,Bushwick North,3112
2024-08-01,2024-08,HV0003,Uber,37,Brooklyn,Bushwick South,4528
2024-08-01,2024-08,HV0003,Uber,38,Queens,Cambria Heights,659
2024-08-01,2024-08,HV0003,Uber,39,Brooklyn,Canarsie,3683
2024-08-01,2024-08,HV0003,Uber,40,Brooklyn,Carroll Gardens,917
2024-08-01,2024-08,HV0003,Uber,41,Manhattan,Central Harlem,3209
2024-08-01,2024-08,HV0003,Uber,42,Manhattan,Central Harlem North,4733
2024-08-01,2024-08,HV0003,Uber,43,Manhattan,Central Park,843
2024-08-01,2024-08,HV0003,Uber,44,Staten Island,Charleston/Tottenville,225
2024-08-01,2024-08,HV0003,Uber,45,Manhattan,Chinatown,1157
2024-08-01,2024-08,HV0003,Uber,46,Bronx,City Island,112
2024-08-01,2024-08,HV0003,Uber,47,Bronx,Claremont/Bathgate,1732
2024-08-01,2024-08,HV0003,Uber,48,Manhattan,Clinton East,4557
2024-08-01,2024-08,HV0003,Uber,49,Brooklyn,Clinton Hill,2497
2024-08-01,2024-08,HV0003,Uber,50,Manhattan,Clinton West,2894
2024-08-01,2024-08,HV0003,Uber,51,Bronx,Co-Op City,2003
2024-08-01,2024-08,HV0003,Uber,52,Brooklyn,Cobble Hill,724
2024-08-01,2024-08,HV0003,Uber,53,Queens,College Point,724
2024-08-01,2024-08,HV0003,Uber,54,Brooklyn,Columbia Street,218
2024-08-01,2024-08,HV0003,Uber,55,Brooklyn,Coney Island,1396
2024-08-01,2024-08,HV0003,Uber,56,Queens,Corona,1280
2024-08-01,2024-08,HV0003,Uber,57,Queens,Corona,81
2024-08-01,2024-08,HV0003,Uber,58,Bronx,Country Club,170
2024-08-01,2024-08,HV0003,Uber,59,Bronx,Crotona Park,83
2024-08-01,2024-08,HV0003,Uber,60,Bronx,Crotona Park East,1183
2024-08-01,2024-08,HV0003,Uber,61,Brooklyn,Crown Heights North,6253
2024-08-01,2024-08,HV0003,Uber,62,Brooklyn,Crown Heights South,1853
2024-08-01,2024-08,HV0003,Uber,63,Brooklyn,Cypress Hills,1428
2024-08-01,2024-08,HV0003,Uber,64,Queens,Douglaston,327
2024-08-01,2024-08,HV0003,Uber,65,Brooklyn,Downtown Brooklyn/MetroTech,2160
2024-08-01,2024-08,HV0003,Uber,66,Brooklyn,DUMBO/Vinegar Hill,1709
