pickup_date,pickup_month,company,location_id,borough,zone,trips
2015-10-01,2015-10,Uber,2.0,Queens,Jamaica Bay,1
2015-10-01,2015-10,Uber,3.0,Bronx,Allerton/Pelham Gardens,38
2015-10-01,2015-10,Uber,4.0,Manhattan,Alphabet City,662
2015-10-01,2015-10,Uber,6.0,Staten Island,Arrochar/Fort Wadsworth,11
2015-10-01,2015-10,Uber,7.0,Queens,Astoria,875
2015-10-01,2015-10,Uber,9.0,Queens,Auburndale,34
2015-10-01,2015-10,Uber,10.0,Queens,Baisley Park,86
2015-10-01,2015-10,Uber,11.0,Brooklyn,Bath Beach,35
2015-10-01,2015-10,Uber,12.0,Manhattan,Battery Park,25
2015-10-01,2015-10,Uber,13.0,Manhattan,Battery Park City,1715
2015-10-01,2015-10,Uber,14.0,Brooklyn,Bay Ridge,349
2015-10-01,2015-10,Uber,15.0,Queens,Bay Terrace/Fort Totten,31
2015-10-01,2015-10,Uber,16.0,Queens,Bayside,127
2015-10-01,2015-10,Uber,17.0,Brooklyn,Bedford,848
2015-10-01,2015-10,Uber,18.0,Bronx,Bedford Park,81
2015-10-01,2015-10,Uber,19.0,Queens,Bellerose,33
2015-10-01,2015-10,Uber,20.0,Bronx,Belmont,87
2015-10-01,2015-10,Uber,21.0,Brooklyn,Bensonhurst East,84
2015-10-01,2015-10,Uber,22.0,Brooklyn,Bensonhurst West,109
2015-10-01,2015-10,Uber,23.0,Staten Island,Bloomfield/Emerson Hill,26
2015-10-01,2015-10,Uber,24.0,Manhattan,Bloomingdale,220
2015-10-01,2015-10,Uber,25.0,Brooklyn,Boerum Hill,682
2015-10-01,2015-10,Uber,26.0,Brooklyn,Borough Park,160
2015-10-01,2015-10,Uber,28.0,Queens,Briarwood/Jamaica Hills,113
2015-10-01,2015-10,Uber,29.0,Brooklyn,Brighton Beach,57
2015-10-01,2015-10,Uber,31.0,Bronx,Bronx Park,21
2015-10-01,2015-10,Uber,32.0,Bronx,Bronxdale,35
2015-10-01,2015-10,Uber,33.0,Brooklyn,Brooklyn Heights,703
2015-10-01,2015-10,Uber,34.0,Brooklyn,Brooklyn Navy Yard,143
2015-10-01,2015-10,Uber,35.0,Brooklyn,Brownsville,121
2015-10-01,2015-10,Uber,36.0,Brooklyn,Bushwick North,843
2015-10-01,2015-10,Uber,37.0,Brooklyn,Bushwick South,1035
2015-10-01,2015-10,Uber,38.0,Queens,Cambria Heights,18
2015-10-01,2015-10,Uber,39.0,Brooklyn,Canarsie,202
2015-10-01,2015-10,Uber,40.0,Brooklyn,Carroll Gardens,379
2015-10-01,2015-10,Uber,41.0,Manhattan,Central Harlem,635
2015-10-01,2015-10,Uber,42.0,Manhattan,Central Harlem North,588
2015-10-01,2015-10,Uber,43.0,Manhattan,Central Park,361
2015-10-01,2015-10,Uber,45.0,Manhattan,Chinatown,396
2015-10-01,2015-10,Uber,46.0,Bronx,City Island,3
2015-10-01,2015-10,Uber,47.0,Bronx,Claremont/Bathgate,48
2015-10-01,2015-10,Uber,48.0,Manhattan,Clinton East,2556
2015-10-01,2015-10,Uber,49.0,Brooklyn,Clinton Hill,933
2015-10-01,2015-10,Uber,50.0,Manhattan,Clinton West,1340
2015-10-01,2015-10,Uber,51.0,Bronx,Co-Op City,47
2015-10-01,2015-10,Uber,52.0,Brooklyn,Cobble Hill,236
2015-10-01,2015-10,Uber,53.0,Queens,College Point,42
2015-10-01,2015-10,Uber,54.0,Brooklyn,Columbia Street,111
2015-10-01,2015-10,Uber,55.0,Brooklyn,Coney Island,36
2015-10-01,2015-10,Uber,56.0,Queens,Corona,97
2015-10-01,2015-10,Uber,57.0,Queens,Corona,13
2015-10-01,2015-10,Uber,58.0,Bronx,Country Club,5
2015-10-01,2015-10,Uber,59.0,Bronx,Crotona Park,1
2015-10-01,2015-10,Uber,60.0,Bronx,Crotona Park East,23
2015-10-01,2015-10,Uber,61.0,Brooklyn,Crown Heights North,1060
2015-10-01,2015-10,Uber,62.0,Brooklyn,Crown Heights South,255
2015-10-01,2015-10,Uber,63.0,Brooklyn,Cypress Hills,66
2015-10-01,2015-10,Uber,64.0,Queens,Douglaston,31
2015-10-01,2015-10,Uber,65.0,Brooklyn,Downtown Brooklyn/MetroTech,655
2015-10-01,2015-10,Uber,66.0,Brooklyn,DUMBO/Vinegar Hill,570
2015-10-01,2015-10,Uber,67.0,Brooklyn,Dyker Heights,82
2015-10-01,2015-10,Uber,68.0,Manhattan,East Chelsea,2825
2015-10-01,2015-10,Uber,69.0,Bronx,East Concourse/Concourse Village,130
2015-10-01,2015-10,Uber,70.0,Queens,East Elmhurst,126
2015-10-01,2015-10,Uber,71.0,Brooklyn,East Flatbush/Farragut,119
2015-10-01,2015-10,Uber,72.0,Brooklyn,East Flatbush/Remsen Village,127
2015-10-01,2015-10,Uber,73.0,Queens,East Flushing,34
2015-10-01,2015-10,Uber,74.0,Manhattan,East Harlem North,463
2015-10-01,2015-10,Uber,75.0,Manhattan,East Harlem South,511
2015-10-01,2015-10,Uber,76.0,Brooklyn,East New York,161
2015-10-01,2015-10,Uber,77.0,Brooklyn,East New York/Pennsylvania Avenue,48
2015-10-01,2015-10,Uber,78.0,Bronx,East Tremont,46
2015-10-01,2015-10,Uber,79.0,Manhattan,East Village,3542
2015-10-01,2015-10,Uber,80.0,Brooklyn,East Williamsburg,1186
2015-10-01,2015-10,Uber,81.0,Bronx,Eastchester,38
2015-10-01,2015-10,Uber,82.0,Queens,Elmhurst,287
2015-10-01,2015-10,Uber,83.0,Queens,Elmhurst/Maspeth,107
2015-10-01,2015-10,Uber,84.0,Staten Island,Eltingville/Annadale/Prince's Bay,1
2015-10-01,2015-10,Uber,85.0,Brooklyn,Erasmus,91
2015-10-01,2015-10,Uber,86.0,Queens,Far Rockaway,3
2015-10-01,2015-10,Uber,87.0,Manhattan,Financial District North,1651
2015-10-01,2015-10,Uber,88.0,Manhattan,Financial District South,771
2015-10-01,2015-10,Uber,89.0,Brooklyn,Flatbush/Ditmas Park,465
2015-10-01,2015-10,Uber,90.0,Manhattan,Flatiron,2262
2015-10-01,2015-10,Uber,91.0,Brooklyn,Flatlands,154
2015-10-01,2015-10,Uber,92.0,Queens,Flushing,259
2015-10-01,2015-10,Uber,93.0,Queens,Flushing Meadows-Corona Park,29
2015-10-01,2015-10,Uber,94.0,Bronx,Fordham South,32
2015-10-01,2015-10,Uber,95.0,Queens,Forest Hills,419
2015-10-01,2015-10,Uber,96.0,Queens,Forest Park/Highland Park,3
2015-10-01,2015-10,Uber,97.0,Brooklyn,Fort Greene,736
2015-10-01,2015-10,Uber,98.0,Queens,Fresh Meadows,52
2015-10-01,2015-10,Uber,100.0,Manhattan,Garment District,1947
2015-10-01,2015-10,Uber,101.0,Queens,Glen Oaks,24
2015-10-01,2015-10,Uber,102.0,Queens,Glendale,84
2015-10-01,2015-10,Uber,106.0,Brooklyn,Gowanus,321
2015-10-01,2015-10,Uber,107.0,Manhattan,Gramercy,2480
2015-10-01,2015-10,Uber,108.0,Brooklyn,Gravesend,44
2015-10-01,2015-10,Uber,109.0,Staten Island,Great Kills,4
2015-10-01,2015-10,Uber,111.0,Brooklyn,Green-Wood Cemetery,5
2015-10-01,2015-10,Uber,112.0,Brooklyn,Greenpoint,1346
2015-10-01,2015-10,Uber,113.0,Manhattan,Greenwich Village North,2510
2015-10-01,2015-10,Uber,114.0,Manhattan,Greenwich Village South,1975
2015-10-01,2015-10,Uber,115.0,Staten Island,Grymes Hill/Clifton,14
2015-10-01,2015-10,Uber,116.0,Manhattan,Hamilton Heights,389
2015-10-01,2015-10,Uber,117.0,Queens,Hammels/Arverne,7
2015-10-01,2015-10,Uber,118.0,Staten Island,Heartland Village/Todt Hill,12
2015-10-01,2015-10,Uber,119.0,Bronx,Highbridge,121
2015-10-01,2015-10,Uber,120.0,Manhattan,Highbridge Park,1
2015-10-01,2015-10,Uber,121.0,Queens,Hillcrest/Pomonok,184
2015-10-01,2015-10,Uber,122.0,Queens,Hollis,23
2015-10-01,2015-10,Uber,123.0,Brooklyn,Homecrest,156
2015-10-01,2015-10,Uber,124.0,Queens,Howard Beach,51
2015-10-01,2015-10,Uber,125.0,Manhattan,Hudson Sq,1450
2015-10-01,2015-10,Uber,126.0,Bronx,Hunts Point,50
2015-10-01,2015-10,Uber,127.0,Manhattan,Inwood,153
2015-10-01,2015-10,Uber,128.0,Manhattan,Inwood Hill Park,12
2015-10-01,2015-10,Uber,129.0,Queens,Jackson Heights,377
2015-10-01,2015-10,Uber,130.0,Queens,Jamaica,186
2015-10-01,2015-10,Uber,131.0,Queens,Jamaica Estates,86
2015-10-01,2015-10,Uber,132.0,Queens,JFK Airport,2348
2015-10-01,2015-10,Uber,133.0,Brooklyn,Kensington,143
2015-10-01,2015-10,Uber,134.0,Queens,Kew Gardens,142
2015-10-01,2015-10,Uber,135.0,Queens,Kew Gardens Hills,122
2015-10-01,2015-10,Uber,136.0,Bronx,Kingsbridge Heights,53
2015-10-01,2015-10,Uber,137.0,Manhattan,Kips Bay,1082
2015-10-01,2015-10,Uber,138.0,Queens,LaGuardia Airport,2950
2015-10-01,2015-10,Uber,139.0,Queens,Laurelton,38
2015-10-01,2015-10,Uber,140.0,Manhattan,Lenox Hill East,1391
2015-10-01,2015-10,Uber,141.0,Manhattan,Lenox Hill West,1817
2015-10-01,2015-10,Uber,142.0,Manhattan,Lincoln Square East,1968
2015-10-01,2015-10,Uber,143.0,Manhattan,Lincoln Square West,1102
2015-10-01,2015-10,Uber,144.0,Manhattan,Little Italy/NoLiTa,2338
2015-10-01,2015-10,Uber,145.0,Queens,Long Island City/Hunters Point,913
2015-10-01,2015-10,Uber,146.0,Queens,Long Island City/Queens Plaza,310
2015-10-01,2015-10,Uber,147.0,Bronx,Longwood,36
2015-10-01,2015-10,Uber,148.0,Manhattan,Lower East Side,2137
2015-10-01,2015-10,Uber,149.0,Brooklyn,Madison,94
2015-10-01,2015-10,Uber,150.0,Brooklyn,Manhattan Beach,47
2015-10-01,2015-10,Uber,151.0,Manhattan,Manhattan Valley,564
2015-10-01,2015-10,Uber,152.0,Manhattan,Manhattanville,187
