pickup_date,pickup_month,company,location_id,borough,zone,trips
2018-11-01,2018-11,Uber,3.0,Bronx,Allerton/Pelham Gardens,193
2018-11-01,2018-11,Uber,4.0,Manhattan,Alphabet City,645
2018-11-01,2018-11,Uber,5.0,Staten Island,Arden Heights,36
2018-11-01,2018-11,Uber,6.0,Staten Island,Arrochar/Fort Wadsworth,88
2018-11-01,2018-11,Uber,7.0,Queens,Astoria,1267
2018-11-01,2018-11,Uber,8.0,Queens,Astoria Park,14
2018-11-01,2018-11,Uber,9.0,Queens,Auburndale,151
2018-11-01,2018-11,Uber,10.0,Queens,Baisley Park,317
2018-11-01,2018-11,Uber,11.0,Brooklyn,Bath Beach,153
2018-11-01,2018-11,Uber,12.0,Manhattan,Battery Park,56
2018-11-01,2018-11,Uber,13.0,Manhattan,Battery Park City,1055
2018-11-01,2018-11,Uber,14.0,Brooklyn,Bay Ridge,755
2018-11-01,2018-11,Uber,15.0,Queens,Bay Terrace/Fort Totten,100
2018-11-01,2018-11,Uber,16.0,Queens,Bayside,357
2018-11-01,2018-11,Uber,17.0,Brooklyn,Bedford,1191
2018-11-01,2018-11,Uber,18.0,Bronx,Bedford Park,503
2018-11-01,2018-11,Uber,19.0,Queens,Bellerose,85
2018-11-01,2018-11,Uber,20.0,Bronx,Belmont,324
2018-11-01,2018-11,Uber,21.0,Brooklyn,Bensonhurst East,434
2018-11-01,2018-11,Uber,22.0,Brooklyn,Bensonhurst West,495
2018-11-01,2018-11,Uber,23.0,Staten Island,Bloomfield/Emerson Hill,238
2018-11-01,2018-11,Uber,24.0,Manhattan,Bloomingdale,191
2018-11-01,2018-11,Uber,25.0,Brooklyn,Boerum Hill,853
2018-11-01,2018-11,Uber,26.0,Brooklyn,Borough Park,868
2018-11-01,2018-11,Uber,27.0,Queens,Breezy Point/Fort Tilden/Riis Beach,3
2018-11-01,2018-11,Uber,28.0,Queens,Briarwood/Jamaica Hills,269
2018-11-01,2018-11,Uber,29.0,Brooklyn,Brighton Beach,327
2018-11-01,2018-11,Uber,30.0,Queens,Broad Channel,4
2018-11-01,2018-11,Uber,31.0,Bronx,Bronx Park,63
2018-11-01,2018-11,Uber,32.0,Bronx,Bronxdale,237
2018-11-01,2018-11,Uber,33.0,Brooklyn,Brooklyn Heights,786
2018-11-01,2018-11,Uber,34.0,Brooklyn,Brooklyn Navy Yard,212
2018-11-01,2018-11,Uber,35.0,Brooklyn,Brownsville,762
2018-11-01,2018-11,Uber,36.0,Brooklyn,Bushwick North,1328
2018-11-01,2018-11,Uber,37.0,Brooklyn,Bushwick South,1677
2018-11-01,2018-11,Uber,38.0,Queens,Cambria Heights,124
2018-11-01,2018-11,Uber,39.0,Brooklyn,Canarsie,1110
2018-11-01,2018-11,Uber,40.0,Brooklyn,Carroll Gardens,360
2018-11-01,2018-11,Uber,41.0,Manhattan,Central Harlem,843
2018-11-01,2018-11,Uber,42.0,Manhattan,Central Harlem North,1149
2018-11-01,2018-11,Uber,43.0,Manhattan,Central Park,803
2018-11-01,2018-11,Uber,44.0,Staten Island,Charleston/Tottenville,44
2018-11-01,2018-11,Uber,45.0,Manhattan,Chinatown,426
2018-11-01,2018-11,Uber,46.0,Bronx,City Island,17
2018-11-01,2018-11,Uber,47.0,Bronx,Claremont/Bathgate,402
2018-11-01,2018-11,Uber,48.0,Manhattan,Clinton East,2410
2018-11-01,2018-11,Uber,49.0,Brooklyn,Clinton Hill,1045
2018-11-01,2018-11,Uber,50.0,Manhattan,Clinton West,879
2018-11-01,2018-11,Uber,51.0,Bronx,Co-Op City,313
2018-11-01,2018-11,Uber,52.0,Brooklyn,Cobble Hill,184
2018-11-01,2018-11,Uber,53.0,Queens,College Point,170
2018-11-01,2018-11,Uber,54.0,Brooklyn,Columbia Street,105
2018-11-01,2018-11,Uber,55.0,Brooklyn,Coney Island,365
2018-11-01,2018-11,Uber,56.0,Queens,Corona,342
2018-11-01,2018-11,Uber,57.0,Queens,Corona,8
2018-11-01,2018-11,Uber,58.0,Bronx,Country Club,18
2018-11-01,2018-11,Uber,59.0,Bronx,Crotona Park,13
2018-11-01,2018-11,Uber,60.0,Bronx,Crotona Park East,227
2018-11-01,2018-11,Uber,61.0,Brooklyn,Crown Heights North,2059
2018-11-01,2018-11,Uber,62.0,Brooklyn,Crown Heights South,594
2018-11-01,2018-11,Uber,63.0,Brooklyn,Cypress Hills,427
2018-11-01,2018-11,Uber,64.0,Queens,Douglaston,125
2018-11-01,2018-11,Uber,65.0,Brooklyn,Downtown Brooklyn/MetroTech,825
2018-11-01,2018-11,Uber,66.0,Brooklyn,DUMBO/Vinegar Hill,852
2018-11-01,2018-11,Uber,67.0,Brooklyn,Dyker Heights,289
2018-11-01,2018-11,Uber,68.0,Manhattan,East Chelsea,1979
2018-11-01,2018-11,Uber,69.0,Bronx,East Concourse/Concourse Village,747
2018-11-01,2018-11,Uber,70.0,Queens,East Elmhurst,335
2018-11-01,2018-11,Uber,71.0,Brooklyn,East Flatbush/Farragut,540
2018-11-01,2018-11,Uber,72.0,Brooklyn,East Flatbush/Remsen Village,847
2018-11-01,2018-11,Uber,73.0,Queens,East Flushing,145
2018-11-01,2018-11,Uber,74.0,Manhattan,East Harlem North,900
2018-11-01,2018-11,Uber,75.0,Manhattan,East Harlem South,914
2018-11-01,2018-11,Uber,76.0,Brooklyn,East New York,1202
2018-11-01,2018-11,Uber,77.0,Brooklyn,East New York/Pennsylvania Avenue,338
2018-11-01,2018-11,Uber,78.0,Bronx,East Tremont,425
2018-11-01,2018-11,Uber,79.0,Manhattan,East Village,2692
2018-11-01,2018-11,Uber,80.0,Brooklyn,East Williamsburg,1310
2018-11-01,2018-11,Uber,81.0,Bronx,Eastchester,234
2018-11-01,2018-11,Uber,82.0,Queens,Elmhurst,856
2018-11-01,2018-11,Uber,83.0,Queens,Elmhurst/Maspeth,248
2018-11-01,2018-11,Uber,84.0,Staten Island,Eltingville/Annadale/Prince's Bay,62
2018-11-01,2018-11,Uber,85.0,Brooklyn,Erasmus,357
2018-11-01,2018-11,Uber,86.0,Queens,Far Rockaway,159
2018-11-01,2018-11,Uber,87.0,Manhattan,Financial District North,1337
2018-11-01,2018-11,Uber,88.0,Manhattan,Financial District South,443
2018-11-01,2018-11,Uber,89.0,Brooklyn,Flatbush/Ditmas Park,1170
2018-11-01,2018-11,Uber,90.0,Manhattan,Flatiron,1571
2018-11-01,2018-11,Uber,91.0,Brooklyn,Flatlands,750
