pickup_date,pickup_month,company,location_id,borough,zone,trips
2015-02-01,2015-02,Uber,3.0,Bronx,Allerton/Pelham Gardens,21
2015-02-01,2015-02,Uber,4.0,Manhattan,Alphabet City,600
2015-02-01,2015-02,Uber,6.0,Staten Island,Arrochar/Fort Wadsworth,3
2015-02-01,2015-02,Uber,7.0,Queens,Astoria,664
2015-02-01,2015-02,Uber,8.0,Queens,Astoria Park,2
2015-02-01,2015-02,Uber,9.0,Queens,Auburndale,13
2015-02-01,2015-02,Uber,10.0,Queens,Baisley Park,17
2015-02-01,2015-02,Uber,11.0,Brooklyn,Bath Beach,34
2015-02-01,2015-02,Uber,12.0,Manhattan,Battery Park,5
2015-02-01,2015-02,Uber,13.0,Manhattan,Battery Park City,639
2015-02-01,2015-02,Uber,14.0,Brooklyn,Bay Ridge,215
2015-02-01,2015-02,Uber,15.0,Queens,Bay Terrace/Fort Totten,12
2015-02-01,2015-02,Uber,16.0,Queens,Bayside,43
2015-02-01,2015-02,Uber,17.0,Brooklyn,Bedford,558
2015-02-01,2015-02,Uber,18.0,Bronx,Bedford Park,36
2015-02-01,2015-02,Uber,19.0,Queens,Bellerose,11
2015-02-01,2015-02,Uber,20.0,Bronx,Belmont,43
2015-02-01,2015-02,Uber,21.0,Brooklyn,Bensonhurst East,46
2015-02-01,2015-02,Uber,22.0,Brooklyn,Bensonhurst West,49
2015-02-01,2015-02,Uber,23.0,Staten Island,Bloomfield/Emerson Hill,5
2015-02-01,2015-02,Uber,24.0,Manhattan,Bloomingdale,140
2015-02-01,2015-02,Uber,25.0,Brooklyn,Boerum Hill,494
2015-02-01,2015-02,Uber,26.0,Brooklyn,Borough Park,62
2015-02-01,2015-02,Uber,28.0,Queens,Briarwood/Jamaica Hills,71
2015-02-01,2015-02,Uber,29.0,Brooklyn,Brighton Beach,27
2015-02-01,2015-02,Uber,30.0,Queens,Broad Channel,4
2015-02-01,2015-02,Uber,31.0,Bronx,Bronx Park,1
2015-02-01,2015-02,Uber,32.0,Bronx,Bronxdale,25
2015-02-01,2015-02,Uber,33.0,Brooklyn,Brooklyn Heights,504
2015-02-01,2015-02,Uber,34.0,Brooklyn,Brooklyn Navy Yard,19
2015-02-01,2015-02,Uber,35.0,Brooklyn,Brownsville,48
2015-02-01,2015-02,Uber,36.0,Brooklyn,Bushwick North,636
2015-02-01,2015-02,Uber,37.0,Brooklyn,Bushwick South,783
2015-02-01,2015-02,Uber,38.0,Queens,Cambria Heights,8
2015-02-01,2015-02,Uber,39.0,Brooklyn,Canarsie,72
2015-02-01,2015-02,Uber,40.0,Brooklyn,Carroll Gardens,266
2015-02-01,2015-02,Uber,41.0,Manhattan,Central Harlem,400
2015-02-01,2015-02,Uber,42.0,Manhattan,Central Harlem North,408
2015-02-01,2015-02,Uber,43.0,Manhattan,Central Park,170
2015-02-01,2015-02,Uber,44.0,Staten Island,Charleston/Tottenville,2
2015-02-01,2015-02,Uber,45.0,Manhattan,Chinatown,263
2015-02-01,2015-02,Uber,46.0,Bronx,City Island,1
2015-02-01,2015-02,Uber,47.0,Bronx,Claremont/Bathgate,11
2015-02-01,2015-02,Uber,48.0,Manhattan,Clinton East,1439
2015-02-01,2015-02,Uber,49.0,Brooklyn,Clinton Hill,638
2015-02-01,2015-02,Uber,50.0,Manhattan,Clinton West,758
2015-02-01,2015-02,Uber,51.0,Bronx,Co-Op City,16
2015-02-01,2015-02,Uber,52.0,Brooklyn,Cobble Hill,188
2015-02-01,2015-02,Uber,53.0,Queens,College Point,14
2015-02-01,2015-02,Uber,54.0,Brooklyn,Columbia Street,75
2015-02-01,2015-02,Uber,55.0,Brooklyn,Coney Island,24
2015-02-01,2015-02,Uber,56.0,Queens,Corona,41
2015-02-01,2015-02,Uber,57.0,Queens,Corona,3
2015-02-01,2015-02,Uber,58.0,Bronx,Country Club,1
2015-02-01,2015-02,Uber,59.0,Bronx,Crotona Park,2
2015-02-01,2015-02,Uber,60.0,Bronx,Crotona Park East,8
2015-02-01,2015-02,Uber,61.0,Brooklyn,Crown Heights North,777
2015-02-01,2015-02,Uber,62.0,Brooklyn,Crown Heights South,178
2015-02-01,2015-02,Uber,63.0,Brooklyn,Cypress Hills,28
2015-02-01,2015-02,Uber,64.0,Queens,Douglaston,9
2015-02-01,2015-02,Uber,65.0,Brooklyn,Downtown Brooklyn/MetroTech,280
2015-02-01,2015-02,Uber,66.0,Brooklyn,DUMBO/Vinegar Hill,291
2015-02-01,2015-02,Uber,67.0,Brooklyn,Dyker Heights,45
2015-02-01,2015-02,Uber,68.0,Manhattan,East Chelsea,1535
2015-02-01,2015-02,Uber,69.0,Bronx,East Concourse/Concourse Village,39
2015-02-01,2015-02,Uber,70.0,Queens,East Elmhurst,44
2015-02-01,2015-02,Uber,71.0,Brooklyn,East Flatbush/Farragut,79
